<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	19:30:00	2655.534	2657.161	2654.379	2654.938	1453	0	159
2025.01.02	19:45:00	2654.885	2655.637	2654.339	2654.740	1444	0	159
2025.01.02	20:00:00	2654.775	2657.256	2654.151	2657.004	1319	0	160
2025.01.02	20:15:00	2656.995	2660.436	2656.338	2659.868	1307	0	160
2025.01.02	20:30:00	2659.869	2660.463	2658.789	2659.105	1490	0	159
2025.01.02	20:45:00	2659.148	2660.129	2659.032	2659.664	1752	0	159
2025.01.02	21:00:00	2659.621	2660.213	2658.986	2658.986	771	0	159
2025.01.02	21:15:00	2659.018	2659.370	2657.853	2658.207	776	0	160
2025.01.02	21:30:00	2658.165	2658.397	2656.550	2657.980	648	0	160
2025.01.02	21:45:00	2657.979	2658.525	2656.983	2657.442	572	0	160
2025.01.02	23:00:00	2657.396	2658.202	2657.322	2658.101	583	0	159
2025.01.02	23:15:00	2658.074	2658.951	2657.953	2658.721	489	0	160
2025.01.02	23:30:00	2658.757	2659.543	2658.390	2659.160	507	0	160
2025.01.02	23:45:00	2659.161	2659.411	2657.832	2658.327	1000	0	159
2025.01.03	00:00:00	2658.328	2661.159	2658.328	2660.707	780	0	160
2025.01.03	00:15:00	2660.674	2661.120	2659.326	2659.760	860	0	159
2025.01.03	00:30:00	2659.804	2660.354	2658.651	2659.049	863	0	160
2025.01.03	00:45:00	2659.053	2660.966	2658.796	2660.717	873	0	160
2025.01.03	01:00:00	2660.745	2662.583	2659.227	2660.817	2078	0	159
2025.01.03	01:15:00	2660.780	2661.401	2658.109	2658.802	1326	0	159
2025.01.03	01:30:00	2658.859	2659.215	2656.672	2657.075	1206	0	159
2025.01.03	01:45:00	2657.031	2660.101	2656.980	2659.414	1219	0	160
2025.01.03	02:00:00	2659.425	2660.367	2656.109	2659.258	2256	0	159
2025.01.03	02:15:00	2659.257	2664.049	2658.634	2659.320	1865	0	160
2025.01.03	02:30:00	2659.283	2662.026	2658.916	2661.457	1800	0	160
2025.01.03	02:45:00	2661.425	2663.160	2659.878	2662.413	1821	0	159
2025.01.03	03:00:00	2662.443	2664.593	2661.238	2663.034	1742	0	160
2025.01.03	03:15:00	2663.051	2665.253	2662.941	2663.487	1713	0	159
2025.01.03	03:30:00	2663.516	2663.653	2661.921	2662.442	1046	0	159
2025.01.03	03:45:00	2662.430	2663.488	2662.066	2662.288	900	0	160
2025.01.03	04:00:00	2662.255	2662.944	2661.680	2662.737	883	0	160
2025.01.03	04:15:00	2662.741	2664.409	2662.552	2663.977	720	0	160
2025.01.03	04:30:00	2664.001	2664.211	2662.005	2662.330	733	0	159
2025.01.03	04:45:00	2662.352	2663.135	2661.831	2662.841	745	0	160
2025.01.03	05:00:00	2662.868	2662.918	2661.111	2661.512	901	0	159
2025.01.03	05:15:00	2661.513	2661.521	2660.004	2660.607	876	0	160
2025.01.03	05:30:00	2660.608	2660.608	2658.738	2659.085	1257	0	159
2025.01.03	05:45:00	2659.047	2659.190	2655.909	2658.550	1734	0	160
2025.01.03	06:00:00	2658.538	2660.147	2657.635	2658.518	1244	0	159
2025.01.03	06:15:00	2658.564	2659.658	2657.212	2657.419	1239	0	159
2025.01.03	06:30:00	2657.371	2659.404	2656.696	2659.302	1233	0	160
2025.01.03	06:45:00	2659.307	2660.247	2658.791	2659.610	1326	0	159
2025.01.03	07:00:00	2659.536	2659.550	2655.603	2656.175	1280	0	159
2025.01.03	07:15:00	2656.171	2656.441	2651.924	2652.802	1866	0	159
2025.01.03	07:30:00	2652.790	2654.947	2652.530	2654.768	1564	0	160
2025.01.03	07:45:00	2654.755	2656.083	2652.892	2654.195	1685	0	159
2025.01.03	08:00:00	2654.164	2655.773	2652.051	2653.798	2168	0	159
2025.01.03	08:15:00	2653.816	2654.837	2651.924	2652.611	1594	0	159
2025.01.03	08:30:00	2652.605	2653.647	2651.157	2652.866	1541	0	159
2025.01.03	08:45:00	2652.891	2653.584	2649.890	2652.985	1687	0	160
2025.01.03	09:00:00	2652.975	2655.694	2652.821	2654.507	1824	0	159
2025.01.03	09:15:00	2654.471	2656.006	2653.143	2653.972	1412	0	159
2025.01.03	09:30:00	2653.967	2655.867	2653.880	2654.095	1145	0	160
2025.01.03	09:45:00	2654.073	2654.641	2652.952	2653.581	1076	0	160
2025.01.03	10:00:00	2653.591	2656.863	2653.345	2656.726	1164	0	160
